approveDate,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,parentID,parentUserDisplayName,permID,picURL,recommendations,recommendedFlag,replyCount,reportAbuseFlag,sharing,status,timespeople,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL,inReplyTo,articleID,sectionName,newDesk,articleWordCount,printPage,typeOfMaterial
1491245186,this project makes me happy to be a 30 year times subscriber continue to innovate across all platforms please,22022598.0,22022598,<br/>,comment,1491237056.0,1,False,0.0,nan,22022598,https://graphics8.nytimes.com/images/apps/timespeople/none.png,2.0,nan,0.0,nan,0,approved,1.0,0.0,1491245186,rob gayle,46006296,riverside ca,nan,nan,0,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491188619,stunning photos and reportage infuriating that the trump admistrations draconian reinstatement of the global gag order will prevent men and women from receiving appropriate family planning advice so obviously desperately   needed,22017350.0,22017350,nan,comment,1491180489.0,1,False,0.0,nan,22017350,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1.0,nan,0.0,nan,0,approved,1.0,0.0,1491188619,susan a,29202761,br,nan,nan,0,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491188617,brilliant work from conception to execution ive never seen anything like it  as a paper of record it is important to leave a record of these and other peoples for whom no one else speaks  please keep humanizing what are otherwise bland statistics  it matters time and again their stories sounded like mine could have been mine  were about to see hordes of people far away experiencing utter devastation  empathy goes away unless there are names and stories and pictures  links to helping at organizations resources  ,22017334.0,22017334,<br/>,comment,1491179470.0,1,False,0.0,nan,22017334,https://graphics8.nytimes.com/images/apps/timespeople/none.png,3.0,nan,0.0,nan,0,approved,1.0,0.0,1491188617,meta,63944806,raleigh nc,nan,nan,0,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491167820,nyt reporters should provide a contributors link to a crowdfunding project or aid organization focused on the specific subject of news stories like this not for every sad story but for the biggest and most obvious human problems on earth brbrthat should be a regular feature with a dedicated clickbutton always located in the same familiar spot only 36 of america has truly hardened their hearts toward those suffering abroad ,22015913.0,22015913,<br/>,comment,1491150196.0,1,False,0.0,nan,22015913,https://graphics8.nytimes.com/images/apps/timespeople/none.png,7.0,nan,2.0,nan,0,approved,1.0,0.0,1491167820,tom wyrick,1266184,missouri usa,nan,nan,0,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491167815,could only have been done in print stunning ,22015466.0,22015466,<br/>,comment,1491147284.0,1,False,0.0,nan,22015466,http://profile.ak.fbcdn.net/hprofile-ak-snc4/hs439.snc4/48586_720248669_1867_q.jpg,5.0,nan,0.0,nan,0,approved,1.0,0.0,1491167815,joe sharkey,61121360,tucson arizona,nan,nan,0,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491142576,thank you new york times people should be supporting and encouraging live theater which brings these photos to life cab dramatists write about real issuesbrmoney to arts not guns,22012085.0,22012085,<br/>,comment,1491128692.0,1,False,0.0,nan,22012085,https://graphics8.nytimes.com/images/apps/timespeople/none.png,8.0,nan,0.0,nan,0,approved,1.0,0.0,1491142576,dramaman,59125002,new york,nan,nan,0,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491060909,proof that photojournalism is alive and well excellent work mr ferguson,22003784.0,22003784,<br/>,comment,1491056012.0,1,False,0.0,nan,22003784,https://graphics8.nytimes.com/images/apps/timespeople/none.png,9.0,nan,0.0,nan,0,approved,1.0,0.0,1491060909,bob williams,320791,east northport ny,nan,nan,0,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491252241,the oasis initiative which i started with prof malcolm potts at uc berkeley is focusing on building local leadership and the evidence base necessary to help people in the sahel face africas greatest development challenge unprecedented population growth and effects of climate change in an already fragile region please consider supporting our work  the donate button is on the top right gifts to uc berkeley have only about 3 indirect cost rate a hrefhttpwwwoasisinitiativeberkeleyedu titlewwwoasisinitiativeberkeleyedu target_blankwwwoasisinitiativeberkeleyedua ,22024897.0,22024897,<br/>,userreply,1491247899.0,2,False,22015913.0,tom wyrick,22015913:22024897,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1.0,nan,0.0,nan,0,approved,1.0,0.0,1491252241,alisha g,65289571,tahoma ca,nan,nan,22015913,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491668599,i agree ive just spent 30 minutes trying to find a place to donate money that will actually go to these people,22082978.0,22082978,nan,userreply,1491665056.0,2,False,22015913.0,tom wyrick,22015913:22082978,https://graphics8.nytimes.com/images/apps/timespeople/none.png,0.0,nan,0.0,nan,0,approved,1.0,0.0,1491668599,kathy mortensen,76442479,ann arbor,nan,nan,22015913,58def1347c459f24986d7c80,unknown,insider,716.0,2,news
1491064414,how about katrina pierson back to palookaville for her,22004930.0,22004930,<br/>,comment,1491061051.0,1,False,0.0,nan,22004930,https://graphics8.nytimes.com/images/apps/timespeople/none.png,60.0,nan,0.0,nan,0,approved,1.0,0.0,1491064414,gaucho54,59237391,california,nan,nan,0,58def3237c459f24986d7c84,unknown,oped,823.0,23,oped
